player_id,season,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,ppr_sh,name,position,team,rank,fppg
00-0030061,2015,75,112,853.0,2,948.0,298.0,39.0,6.4603896710811055,0,13.59376380701805,2.7316875763811637,3.572795833114822,170.3,15,0.18791946308724833,0.23471156226788809,0.13688562241616903,0.469648444445183,0.20593915982617092,0.09523809523809523,0.21195652173913043,0.2,0.1223964696919605,Zach Ertz,TE,WAS,9.0,11.353333333333333
00-0030061,2016,78,106,816.0,4,852.0,263.0,42.0,26.21698745034977,0,14.259580074337439,2.58081308179664,2.9184635863797594,183.60000000000002,14,0.1948529411764706,0.2072992700729927,0.1796448087431694,0.4581188278231001,0.2467493196250378,0.3076923076923077,0.2485207100591716,0.25274725274725274,0.16080155546602676,Zach Ertz,TE,WAS,6.0,13.114285714285716
00-0030472,2015,87,114,952.0,11,752.0,468.0,54.0,54.52404345573174,0,19.2570894079465,3.3630226244214874,2.6596737578366723,244.2,14,0.23799582463465555,0.19451629591308847,0.2669709070165431,0.5126067736824541,0.2454240783707141,0.39285714285714285,0.29508196721311475,0.3080568720379147,0.18100151205194343,Jordan Reed,TE,WAS,3.0,17.442857142857143
00-0030472,2016,66,89,686.0,6,644.0,264.0,41.0,30.7349786477877,0,13.110744948541111,2.292462819294557,2.0645462945862665,168.6,12,0.19017094017094016,0.16148445336008024,0.17345597897503284,0.41444397294447444,0.1785063752276867,0.3,0.22527472527472528,0.23267326732673269,0.14072046205722297,Jordan Reed,TE,WAS,9.0,14.049999999999999
00-0032392,2019,75,97,787.0,6,629.0,335.0,41.0,25.492557561098973,1,17.674447123094318,2.4063148289312735,1.8950270694977176,191.70000000000002,13,0.1773308957952468,0.14403480650332035,0.20514390691977955,0.38122418889552645,0.19209177446912376,0.24,0.1943127962085308,0.19915254237288135,0.1430938731637406,Austin Hooper,TE,NEP,6.0,14.746153846153847
00-0033090,2019,55,76,652.0,5,779.0,159.0,36.0,23.48607750300951,1,10.239059033606653,2.225520811441227,2.587274825624105,150.2,12,0.1743119266055046,0.20641229464758876,0.09642207398423287,0.4265977256263279,0.18580792248503847,0.25,0.225,0.22777777777777777,0.1356624155496947,Hunter Henry,TE,NEP,9.0,12.516666666666666
00-0033757,2020,52,59,586.0,11,457.0,223.0,33.0,43.79369459690683,0,22.51816667785217,1.8899591574148917,1.8447634401160409,176.6,15,0.12240663900414937,0.12206196581196581,0.10654562828475872,0.2812595311557967,0.14891994917407878,0.25,0.1658291457286432,0.18106995884773663,0.11017530725559922,Robert Tonyan,TE,MIN,4.0,11.773333333333333
00-0033895,2022,58,87,555.0,4,491.0,326.0,29.0,1.2463771053494592,1,20.309801852736637,2.0347954409416076,1.8158727468102736,139.5,15,0.13384615384615384,0.12153465346534653,0.1394354148845167,0.297996953541508,0.12979420018709073,0.16666666666666666,0.1380952380952381,0.14102564102564102,0.0955846077947706,Gerald Everett,TE,CHI,12.0,9.3
00-0035229,2020,67,101,723.0,6,710.0,329.0,40.0,8.834433764198621,1,18.346138715655993,2.8431272136557553,2.4844098542565236,175.3,16,0.17353951890034364,0.1425416583015459,0.17435082140964495,0.37434260499175215,0.16443029338185125,0.2222222222222222,0.18181818181818182,0.1862348178137652,0.11785032403797026,T.J. Hockenson,TE,MIN,5.0,10.95625
00-0036290,2022,50,69,544.0,7,463.0,286.0,27.0,12.178644300971724,0,19.028948165710663,3.2044916076256094,2.5126952750799227,147.29999999999998,17,0.1830238726790451,0.13514302393461763,0.24869565217391304,0.38265022816626176,0.20939183987682833,0.3684210526315789,0.24770642201834864,0.265625,0.12874523651365238,Cole Kmet,TE,CHI,8.0,8.66470588235294
