player_id,season,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,ppr_sh,name,position,team,rank
00-0021547,2014,69,98,821.0,12,913.0,251.0,44.0,46.28572143361985,0,23.162373647232226,2.737824628447806,2.9435031548715727,223.1,16,0.17073170731707318,0.1862885125484595,0.1302542812662169,0.4051283710143774,0.19110800744878959,0.3870967741935484,0.205607476635514,0.22857142857142856,0.15709718760122243,Antonio Gates,TE,SD,3.0
00-0021547,2015,56,85,630.0,5,696.0,239.0,33.0,22.314243226265525,0,10.957601081002897,2.012525979926312,2.133249203533857,149.0,11,0.183585313174946,0.19387186629526462,0.14192399049881235,0.4304754627986307,0.19638403990024939,0.2777777777777778,0.21153846153846154,0.21839080459770116,0.1488333066964999,Antonio Gates,TE,SD,12.0
00-0021547,2016,53,93,548.0,7,769.0,188.0,34.0,12.821653744635421,0,9.766388218897323,2.5962629893664375,2.5279264233746543,147.8,13,0.1987179487179487,0.19105590062111802,0.11612106238418778,0.4509216435738175,0.1567057477838147,0.25,0.19540229885057472,0.20297029702970298,0.1263917631565445,Antonio Gates,TE,SD,12.0
00-0022127,2014,64,90,703.0,5,831.0,229.0,48.0,39.420553918528896,0,14.821330306302023,3.110597428023678,3.3267790342910084,164.3,16,0.18907563025210083,0.1943859649122807,0.1281477336317851,0.43912221730797585,0.1753992015968064,0.13513513513513514,0.23414634146341465,0.2190082644628099,0.10637609095382385,Jason Witten,TE,DAL,9.0
00-0022127,2015,77,104,713.0,3,727.0,230.0,36.0,-2.552544341866171,0,15.39585290869259,3.27505029764093,3.08732647866337,164.3,16,0.19696969696969696,0.17937330372563534,0.13001695873374788,0.4389531884350537,0.1939080772368779,0.1875,0.2057142857142857,0.20418848167539266,0.13739985616083228,Jason Witten,TE,DAL,10.0
00-0022127,2016,69,95,673.0,3,596.0,273.0,33.0,22.518397182480502,0,20.013030179142362,3.028307218998574,2.547235304420838,152.3,15,0.20430107526881722,0.1599141400590287,0.17256637168141592,0.4343829249504488,0.18387978142076503,0.125,0.1783783783783784,0.1722488038277512,0.10855310049893087,Jason Witten,TE,DAL,11.0
00-0022127,2017,63,87,560.0,5,602.0,105.0,26.0,17.28372098795307,0,15.018944977623956,2.856391884118982,2.5094826845962777,147.0,16,0.17647058823529413,0.15267562769464874,0.07697947214076246,0.38684638450866016,0.1683704149128082,0.22727272727272727,0.16049382716049382,0.16847826086956522,0.11432215516705033,Jason Witten,TE,DAL,9.0
00-0022127,2019,63,83,529.0,4,546.0,162.0,27.0,19.241698911857018,1,19.91025385896278,2.3545168408906076,1.7885913924141652,139.9,16,0.1390284757118928,0.09727418492784608,0.08617021276595745,0.28636206151011606,0.10791513667890656,0.13333333333333333,0.11790393013100436,0.11969111969111969,0.0838940260737116,Jason Witten,TE,DAL,11.0
00-0022943,2015,74,110,825.0,6,985.0,241.0,42.0,43.24931134349788,0,14.777495712093284,2.625435199210836,3.111001127817715,190.5,16,0.16491754122938532,0.1891321044546851,0.09506903353057199,0.39868199540782606,0.1585014409221902,0.1875,0.1700404858299595,0.17204301075268819,0.11012833853624697,Ben Watson,TE,NO,7.0
00-0022943,2017,61,79,522.0,4,416.0,263.0,30.0,12.207220605075356,0,29.810456072901523,2.160798393215037,1.6909504737209957,137.2,16,0.13932980599647266,0.10827693909422176,0.17463479415670652,0.29561626027008636,0.16136012364760433,0.2,0.17857142857142858,0.18085106382978725,0.10824457593688362,Ben Watson,TE,BAL,11.0
00-0023465,2014,66,91,761.0,3,666.0,325.0,42.0,36.65592876950298,1,24.322891206774404,2.4222964719998243,2.247505902463452,160.10000000000002,16,0.14869281045751634,0.12734225621414913,0.14241893076248904,0.3249130206575938,0.15229137482489494,0.09090909090909091,0.1728395061728395,0.16304347826086957,0.09613421561445437,Heath Miller,TE,PIT,11.0
00-0024389,2014,63,106,890.0,4,946.0,408.0,35.0,-0.8408739164349828,0,14.76099658738761,3.3026398757978193,3.223127504416271,176.0,15,0.2167689161554192,0.20919946926138877,0.2632258064516129,0.4925129496422399,0.25611510791366904,0.2222222222222222,0.2348993288590604,0.23353293413173654,0.16398024783378368,Delanie Walker,TE,TEN,8.0
00-0024389,2015,94,133,1088.0,6,1164.0,384.0,52.0,31.93295637495924,1,15.75775399016486,3.962222682844163,4.0444460835263145,244.4,15,0.2587548638132296,0.2621031299256924,0.25296442687747034,0.5978147996603984,0.2992299229922992,0.2608695652173913,0.287292817679558,0.28431372549019607,0.20232793019520837,Delanie Walker,TE,TEN,2.0
00-0024389,2016,65,102,800.0,7,966.0,271.0,35.0,23.17477046428632,0,13.274256219463659,3.462273165321397,3.446094175340098,188.1,15,0.21656050955414013,0.21904761904761905,0.21610845295055822,0.5000788595693055,0.22818026240730177,0.2413793103448276,0.21084337349397592,0.2153846153846154,0.14127561136814276,Delanie Walker,TE,TEN,5.0
00-0024389,2017,74,111,807.0,3,1011.0,248.0,43.0,1.4768408769308374,0,14.121132688821888,3.7112375795150196,3.745146065932561,174.5,16,0.22379032258064516,0.23108571428571428,0.19106317411402157,0.5205540552995391,0.23777253977607543,0.21428571428571427,0.27388535031847133,0.26900584795321636,0.1495979287759546,Delanie Walker,TE,TEN,4.0
